
Píxel (0, 0): R=000, G=000, B=000
Píxel (1, 0): R=000, G=000, B=000
Píxel (2, 0): R=000, G=000, B=000
Píxel (3, 0): R=253, G=253, B=253
Píxel (4, 0): R=000, G=000, B=000
Píxel (5, 0): R=253, G=253, B=253
Píxel (6, 0): R=000, G=000, B=000
Píxel (7, 0): R=000, G=000, B=000
Píxel (8, 0): R=000, G=000, B=000
Píxel (9, 0): R=000, G=000, B=000
Píxel (10, 0): R=000, G=000, B=000
Píxel (11, 0): R=000, G=000, B=000
Píxel (12, 0): R=000, G=000, B=000
Píxel (13, 0): R=000, G=000, B=000
Píxel (14, 0): R=000, G=000, B=000
Píxel (15, 0): R=254, G=000, B=253
Píxel (16, 0): R=251, G=000, B=251
Píxel (17, 0): R=251, G=000, B=251
Píxel (18, 0): R=254, G=000, B=253
Píxel (19, 0): R=000, G=254, B=000
Píxel (20, 0): R=000, G=252, B=000
Píxel (21, 0): R=000, G=252, B=000
Píxel (22, 0): R=000, G=254, B=000
Píxel (23, 0): R=254, G=000, B=000
Píxel (24, 0): R=000, G=000, B=000
Píxel (25, 0): R=000, G=000, B=000
Píxel (26, 0): R=000, G=254, B=000
Píxel (27, 0): R=000, G=254, B=000
Píxel (28, 0): R=000, G=254, B=000
Píxel (29, 0): R=000, G=000, B=000
Píxel (30, 0): R=000, G=254, B=000
Píxel (31, 0): R=000, G=254, B=000
Píxel (32, 0): R=000, G=254, B=000
Píxel (33, 0): R=000, G=254, B=000
Píxel (34, 0): R=000, G=253, B=000
Píxel (35, 0): R=000, G=253, B=000
Píxel (36, 0): R=000, G=253, B=000
Píxel (37, 0): R=000, G=254, B=000
Píxel (38, 0): R=000, G=000, B=253
Píxel (39, 0): R=000, G=000, B=253
Píxel (40, 0): R=253, G=000, B=250
Píxel (41, 0): R=254, G=000, B=251
Píxel (42, 0): R=000, G=000, B=253
Píxel (43, 0): R=254, G=254, B=252
Píxel (44, 0): R=000, G=253, B=254
Píxel (45, 0): R=000, G=254, B=000
Píxel (46, 0): R=000, G=254, B=000
Píxel (47, 0): R=000, G=252, B=000
Píxel (48, 0): R=000, G=252, B=000
Píxel (49, 0): R=000, G=252, B=000
Píxel (50, 0): R=000, G=254, B=000
Píxel (51, 0): R=000, G=253, B=000
Píxel (52, 0): R=000, G=252, B=000
Píxel (53, 0): R=000, G=253, B=000
Píxel (54, 0): R=000, G=000, B=253
Píxel (55, 0): R=252, G=000, B=250
Píxel (56, 0): R=254, G=000, B=250
Píxel (57, 0): R=254, G=000, B=248
Píxel (58, 0): R=254, G=000, B=250
Píxel (59, 0): R=254, G=000, B=251
Píxel (60, 0): R=000, G=000, B=253
Píxel (61, 0): R=000, G=254, B=000
Píxel (62, 0): R=000, G=254, B=000
Píxel (63, 0): R=000, G=254, B=000
Píxel (64, 0): R=000, G=254, B=000
Píxel (65, 0): R=000, G=000, B=000
Píxel (66, 0): R=000, G=000, B=000
Píxel (67, 0): R=000, G=000, B=000
Píxel (68, 0): R=000, G=000, B=000
Píxel (69, 0): R=000, G=000, B=000
Píxel (70, 0): R=000, G=000, B=000
Píxel (71, 0): R=000, G=000, B=000
Píxel (72, 0): R=254, G=254, B=254
Píxel (73, 0): R=000, G=000, B=000
Píxel (74, 0): R=000, G=000, B=000
Píxel (75, 0): R=253, G=253, B=253
Píxel (76, 0): R=000, G=000, B=000
Píxel (77, 0): R=254, G=254, B=254
Píxel (78, 0): R=000, G=000, B=000
Píxel (79, 0): R=000, G=000, B=000
Píxel (80, 0): R=000, G=000, B=000
Píxel (81, 0): R=251, G=251, B=251
Píxel (82, 0): R=000, G=000, B=000
Píxel (0, 1): R=000, G=000, B=000
Píxel (1, 1): R=000, G=000, B=000
Píxel (2, 1): R=000, G=000, B=000
Píxel (3, 1): R=000, G=000, B=000
Píxel (4, 1): R=251, G=251, B=251
Píxel (5, 1): R=000, G=000, B=000
Píxel (6, 1): R=254, G=254, B=254
Píxel (7, 1): R=254, G=254, B=254
Píxel (8, 1): R=254, G=254, B=254
Píxel (9, 1): R=254, G=254, B=254
Píxel (10, 1): R=254, G=254, B=254
Píxel (11, 1): R=254, G=254, B=254
Píxel (12, 1): R=254, G=254, B=254
Píxel (13, 1): R=254, G=254, B=254
Píxel (14, 1): R=254, G=254, B=254
Píxel (15, 1): R=253, G=000, B=252
Píxel (16, 1): R=251, G=000, B=250
Píxel (17, 1): R=251, G=000, B=250
Píxel (18, 1): R=254, G=254, B=254
Píxel (19, 1): R=000, G=252, B=000
Píxel (20, 1): R=000, G=252, B=000
Píxel (21, 1): R=000, G=253, B=000
Píxel (22, 1): R=254, G=253, B=000
Píxel (23, 1): R=253, G=254, B=000
Píxel (24, 1): R=254, G=254, B=000
Píxel (25, 1): R=254, G=254, B=254
Píxel (26, 1): R=254, G=254, B=254
Píxel (27, 1): R=254, G=254, B=254
Píxel (28, 1): R=253, G=254, B=000
Píxel (29, 1): R=254, G=254, B=000
Píxel (30, 1): R=000, G=253, B=000
Píxel (31, 1): R=000, G=253, B=000
Píxel (32, 1): R=254, G=254, B=000
