      [(0, 0): R=000, G=000, B=000
       (1, 0): R=000, G=000, B=000
       (2, 0): R=000, G=000, B=000
       (3, 0): R=253, G=253, B=253
       (4, 0): R=000, G=000, B=000
       (5, 0): R=253, G=253, B=253
       (6, 0): R=000, G=000, B=000
       (7, 0): R=000, G=000, B=000
       (8, 0): R=000, G=000, B=000
       (9, 0): R=000, G=000, B=000
       (10, 0): R=000, G=000, B=000
       (11, 0): R=000, G=000, B=000
       (12, 0): R=000, G=000, B=000
       (13, 0): R=000, G=000, B=000
       (14, 0): R=000, G=000, B=000
       (15, 0): R=254, G=000, B=253
       (16, 0): R=251, G=000, B=251
       (17, 0): R=251, G=000, B=251
       (18, 0): R=254, G=000, B=253
       (19, 0): R=000, G=254, B=000
       (20, 0): R=000, G=252, B=000
       (21, 0): R=000, G=252, B=000
       (22, 0): R=000, G=254, B=000
       (23, 0): R=254, G=000, B=000
       (24, 0): R=000, G=000, B=000
       (25, 0): R=000, G=000, B=000
       (26, 0): R=000, G=254, B=000
       (27, 0): R=000, G=254, B=000
       (28, 0): R=000, G=254, B=000
       (29, 0): R=000, G=000, B=000
       (30, 0): R=000, G=254, B=000
       (31, 0): R=000, G=254, B=000
       (32, 0): R=000, G=254, B=000
       (33, 0): R=000, G=254, B=000
       (34, 0): R=000, G=253, B=000
       (35, 0): R=000, G=253, B=000
       (36, 0): R=000, G=253, B=000
       (37, 0): R=000, G=254, B=000
       (38, 0): R=000, G=000, B=253
       (39, 0): R=000, G=000, B=253
       (40, 0): R=253, G=000, B=250
       (41, 0): R=254, G=000, B=251
       (42, 0): R=000, G=000, B=253
       (43, 0): R=254, G=254, B=252
       (44, 0): R=000, G=253, B=254
       (45, 0): R=000, G=254, B=000
       (46, 0): R=000, G=254, B=000
       (47, 0): R=000, G=252, B=000
       (48, 0): R=000, G=252, B=000
       (49, 0): R=000, G=252, B=000
       (50, 0): R=000, G=254, B=000
       (51, 0): R=000, G=253, B=000
       (52, 0): R=000, G=252, B=000
       (53, 0): R=000, G=253, B=000
       (54, 0): R=000, G=000, B=253
       (55, 0): R=252, G=000, B=250
       (56, 0): R=254, G=000, B=250
       (57, 0): R=254, G=000, B=248
       (58, 0): R=254, G=000, B=250
       (59, 0): R=254, G=000, B=251
       (60, 0): R=000, G=000, B=253
       (61, 0): R=000, G=254, B=000
       (62, 0): R=000, G=254, B=000
       (63, 0): R=000, G=254, B=000
       (64, 0): R=000, G=254, B=000
       (65, 0): R=000, G=000, B=000
       (66, 0): R=000, G=000, B=000
       (67, 0): R=000, G=000, B=000
       (68, 0): R=000, G=000, B=000
       (69, 0): R=000, G=000, B=000
       (70, 0): R=000, G=000, B=000
       (71, 0): R=000, G=000, B=000
       (72, 0): R=254, G=254, B=254
       (73, 0): R=000, G=000, B=000
       (74, 0): R=000, G=000, B=000
       (75, 0): R=253, G=253, B=253
       (76, 0): R=000, G=000, B=000
       (77, 0): R=254, G=254, B=254
       (78, 0): R=000, G=000, B=000
       (79, 0): R=000, G=000, B=000
       (80, 0): R=000, G=000, B=000
       (81, 0): R=251, G=251, B=251
       (82, 0): R=000, G=000, B=000
       (0, 1): R=000, G=000, B=000
       (1, 1): R=000, G=000, B=000
       (2, 1): R=000, G=000, B=000
       (3, 1): R=000, G=000, B=000
       (4, 1): R=251, G=251, B=251
       (5, 1): R=000, G=000, B=000
       (6, 1): R=254, G=254, B=254
       (7, 1): R=254, G=254, B=254
       (8, 1): R=254, G=254, B=254
       (9, 1): R=254, G=254, B=254
       (10, 1): R=254, G=254, B=254
       (11, 1): R=254, G=254, B=254
       (12, 1): R=254, G=254, B=254
       (13, 1): R=254, G=254, B=254
       (14, 1): R=254, G=254, B=254
       (15, 1): R=253, G=000, B=252
       (16, 1): R=251, G=000, B=250
       (17, 1): R=251, G=000, B=250
       (18, 1): R=254, G=254, B=254
       (19, 1): R=000, G=252, B=000
       (20, 1): R=000, G=252, B=000
       (21, 1): R=000, G=253, B=000
       (22, 1): R=254, G=253, B=000
       (23, 1): R=253, G=254, B=000
       (24, 1): R=254, G=254, B=000
       (25, 1): R=254, G=254, B=254
       (26, 1): R=254, G=254, B=254
       (27, 1): R=254, G=254, B=254
       (28, 1): R=253, G=254, B=000
       (29, 1): R=254, G=254, B=000
       (30, 1): R=000, G=253, B=000
       (31, 1): R=000, G=253, B=000
       (32, 1): R=254, G=254, B=000
       (33, 1): R=254, G=253, B=000
       (34, 1): R=000, G=253, B=000
       (35, 1): R=000, G=252, B=000
       (36, 1): R=000, G=253, B=254
       (37, 1): R=000, G=253, B=254
       (38, 1): R=000, G=253, B=254
       (39, 1): R=254, G=254, B=252
       (40, 1): R=253, G=000, B=252
       (41, 1): R=254, G=000, B=253
       (42, 1): R=000, G=000, B=000
       (43, 1): R=254, G=254, B=254
       (44, 1): R=254, G=254, B=254
       (45, 1): R=254, G=254, B=254
       (46, 1): R=254, G=254, B=000
       (47, 1): R=254, G=252, B=000
       (48, 1): R=000, G=252, B=000
       (49, 1): R=000, G=252, B=000
       (50, 1): R=254, G=254, B=000
       (51, 1): R=254, G=254, B=000
       (52, 1): R=000, G=253, B=254
       (53, 1): R=000, G=253, B=254
       (54, 1): R=253, G=000, B=252
       (55, 1): R=253, G=000, B=250
       (56, 1): R=254, G=000, B=250
       (57, 1): R=254, G=000, B=250
       (58, 1): R=253, G=000, B=252
       (59, 1): R=253, G=000, B=252
       (60, 1): R=000, G=253, B=254
       (61, 1): R=000, G=253, B=254
       (62, 1): R=000, G=253, B=254
       (63, 1): R=000, G=253, B=254
       (64, 1): R=254, G=254, B=254
       (65, 1): R=254, G=254, B=254
       (66, 1): R=254, G=254, B=254
       (67, 1): R=254, G=254, B=254
       (68, 1): R=254, G=254, B=254
       (69, 1): R=254, G=254, B=254
       (70, 1): R=254, G=254, B=254
       (71, 1): R=254, G=254, B=254
       (72, 1): R=254, G=254, B=254
       (73, 1): R=254, G=254, B=254
       (74, 1): R=000, G=000, B=000
       (75, 1): R=253, G=253, B=253
       (76, 1): R=000, G=000, B=000
       (77, 1): R=254, G=254, B=254
       (78, 1): R=000, G=000, B=000
       (79, 1): R=248, G=248, B=248
       (80, 1): R=253, G=253, B=253
       (81, 1): R=000, G=000, B=000
       (82, 1): R=252, G=252, B=252
       (0, 2): R=252, G=252, B=252
       (1, 2): R=000, G=000, B=000
       (2, 2): R=191, G=191, B=191
       (3, 2): R=127, G=127, B=127
       (4, 2): R=160, G=160, B=160
       (5, 2): R=152, G=152, B=152
       (6, 2): R=155, G=155, B=155
