
Píxel (0, 0): R=245, G=255, B=255
Píxel (1, 0): R=246, G=255, B=255
Píxel (2, 0): R=247, G=255, B=255
Píxel (3, 0): R=0000, G=255, B=249
Píxel (4, 0): R=000, G=255, B=246
Píxel (5, 0): R=0001, G=255, B=245
Píxel (6, 0): R=249, G=255, B=248
Píxel (7, 0): R=248, G=255, B=251
Píxel (8, 0): R=249, G=255, B=255
Píxel (9, 0): R=245, G=250, B=255
Píxel (10, 0): R=249, G=255, B=255
Píxel (11, 0): R=246, G=255, B=255
Píxel (12, 0): R=247, G=255, B=255
Píxel (13, 0): R=249, G=254, B=255
Píxel (14, 0): R=0005, G=250, B=255
Píxel (15, 0): R=0005, G=245, B=255
Píxel (16, 0): R=0005, G=252, B=255
Píxel (17, 0): R=0004, G=252, B=255
Píxel (18, 0): R=0005, G=251, B=252
Píxel (19, 0): R=0005, G=252, B=249
Píxel (20, 0): R=0005, G=253, B=247
Píxel (21, 0): R=0005, G=251, B=242
Píxel (22, 0): R=0005, G=250, B=240
Píxel (23, 0): R=0005, G=251, B=239
Píxel (24, 0): R=0005, G=253, B=243
Píxel (25, 0): R=0005, G=250, B=241
Píxel (26, 0): R=0005, G=252, B=247
Píxel (27, 0): R=0005, G=252, B=250
Píxel (28, 0): R=0005, G=252, B=255
Píxel (29, 0): R=0001, G=244, B=252
Píxel (30, 0): R=0005, G=252, B=255
Píxel (31, 0): R=0003, G=251, B=255
Píxel (32, 0): R=243, G=250, B=255
Píxel (33, 0): R=249, G=255, B=255
Píxel (34, 0): R=0005, G=253, B=255
Píxel (35, 0): R=0005, G=251, B=250
Píxel (36, 0): R=0005, G=252, B=247
Píxel (37, 0): R=0003, G=253, B=245
Píxel (38, 0): R=0005, G=254, B=245
Píxel (39, 0): R=0005, G=255, B=246
Píxel (40, 0): R=248, G=255, B=249
Píxel (41, 0): R=246, G=255, B=249
Píxel (0, 1): R=0001, G=254, B=255
Píxel (1, 1): R=0000, G=255, B=255
Píxel (2, 1): R=248, G=255, B=255
Píxel (3, 1): R=0000, G=255, B=252
Píxel (4, 1): R=0005, G=254, B=249
Píxel (5, 1): R=0005, G=254, B=249
Píxel (6, 1): R=0003, G=255, B=249
Píxel (7, 1): R=0001, G=255, B=252
Píxel (8, 1): R=0004, G=255, B=255
Píxel (9, 1): R=000, G=255, B=255
Píxel (10, 1): R=000, G=255, B=255
Píxel (11, 1): R=246, G=251, B=255
Píxel (12, 1): R=247, G=252, B=255
Píxel (13, 1): R=0005, G=254, B=255
Píxel (14, 1): R=0005, G=237, B=242
Píxel (15, 1): R=0005, G=242, B=250
Píxel (16, 1): R=0005, G=235, B=239
Píxel (17, 1): R=0005, G=235, B=236
Píxel (18, 1): R=0005, G=234, B=234
Píxel (19, 1): R=0005, G=233, B=229
Píxel (20, 1): R=0005, G=229, B=223
Píxel (21, 1): R=0005, G=225, B=218
Píxel (22, 1): R=0005, G=225, B=216
Píxel (23, 1): R=0005, G=228, B=218
Píxel (24, 1): R=0005, G=229, B=220
Píxel (25, 1): R=0005, G=232, B=223
Píxel (26, 1): R=0005, G=237, B=231
Píxel (27, 1): R=0005, G=237, B=233
Píxel (28, 1): R=0005, G=245, B=244
Píxel (29, 1): R=0005, G=249, B=251
Píxel (30, 1): R=0005, G=251, B=255
Píxel (31, 1): R=000, G=251, B=255
Píxel (32, 1): R=247, G=252, B=255
Píxel (33, 1): R=0001, G=255, B=255
Píxel (34, 1): R=0005, G=255, B=255
Píxel (35, 1): R=0005, G=253, B=252
Píxel (36, 1): R=0005, G=254, B=251
Píxel (37, 1): R=0005, G=255, B=250
Píxel (38, 1): R=0001, G=251, B=243
Píxel (39, 1): R=000, G=255, B=248
Píxel (40, 1): R=249, G=255, B=250
Píxel (41, 1): R=247, G=255, B=251
Píxel (0, 2): R=0005, G=248, B=255
Píxel (1, 2): R=0005, G=250, B=255
Píxel (2, 2): R=0000, G=255, B=255
Píxel (3, 2): R=0000, G=255, B=254
Píxel (4, 2): R=0005, G=252, B=254
Píxel (5, 2): R=0005, G=249, B=254
Píxel (6, 2): R=0005, G=248, B=253
Píxel (7, 2): R=0005, G=249, B=253
Píxel (8, 2): R=0001, G=245, B=249
Píxel (9, 2): R=0005, G=254, B=255
Píxel (10, 2): R=246, G=246, B=244
Píxel (11, 2): R=0003, G=254, B=248
Píxel (12, 2): R=0005, G=255, B=244
Píxel (13, 2): R=0005, G=245, B=236
Píxel (14, 2): R=0005, G=229, B=227
Píxel (15, 2): R=0005, G=214, B=211
Píxel (16, 2): R=0005, G=157, B=151
Píxel (17, 2): R=236, G=113, B=106
Píxel (18, 2): R=196, G=64, B=59
Píxel (19, 2): R=177, G=40, B=34
Píxel (20, 2): R=182, G=38, B=30
Píxel (21, 2): R=190, G=41, B=35
Píxel (22, 2): R=185, G=36, B=30
Píxel (23, 2): R=174, G=31, B=25
Píxel (24, 2): R=194, G=61, B=54
Píxel (25, 2): R=209, G=94, B=87
Píxel (26, 2): R=249, G=156, B=148
Píxel (27, 2): R=0005, G=205, B=195
Píxel (28, 2): R=0005, G=231, B=221
Píxel (29, 2): R=0005, G=246, B=235
Píxel (30, 2): R=0004, G=244, B=232
Píxel (31, 2): R=0005, G=255, B=246
Píxel (32, 2): R=000, G=254, B=249
Píxel (33, 2): R=248, G=250, B=249
Píxel (34, 2): R=0005, G=255, B=255
Píxel (35, 2): R=0003, G=251, B=252
Píxel (36, 2): R=0005, G=247, B=248
Píxel (37, 2): R=0005, G=253, B=253
Píxel (38, 2): R=0003, G=255, B=252
Píxel (39, 2): R=0001, G=255, B=253
Píxel (40, 2): R=247, G=255, B=251
Píxel (41, 2): R=246, G=255, B=251
Píxel (0, 3): R=0005, G=247, B=255
Píxel (1, 3): R=0005, G=250, B=255
Píxel (2, 3): R=0001, G=255, B=255
Píxel (3, 3): R=0000, G=255, B=255
Píxel (4, 3): R=0005, G=253, B=255
Píxel (5, 3): R=0005, G=250, B=255
Píxel (6, 3): R=0005, G=248, B=255
Píxel (7, 3): R=0005, G=248, B=255
Píxel (8, 3): R=0005, G=250, B=255
Píxel (9, 3): R=0005, G=245, B=245
Píxel (10, 3): R=0005, G=247, B=241
Píxel (11, 3): R=0005, G=239, B=228
Píxel (12, 3): R=0005, G=230, B=216
Píxel (13, 3): R=0005, G=196, B=182
Píxel (14, 3): R=207, G=108, B=102
Píxel (15, 3): R=160, G=29, B=21
Píxel (16, 3): R=189, G=31, B=19
Píxel (17, 3): R=206, G=30, B=15
Píxel (18, 3): R=216, G=32, B=20
Píxel (19, 3): R=224, G=32, B=21
Píxel (20, 3): R=227, G=26, B=16
Píxel (21, 3): R=228, G=21, B=13
Píxel (22, 3): R=230, G=23, B=15
Píxel (23, 3): R=230, G=29, B=22
Píxel (24, 3): R=224, G=35, B=29
Píxel (25, 3): R=197, G=26, B=18
Píxel (26, 3): R=181, G=34, B=26
Píxel (27, 3): R=156, G=35, B=26
Píxel (28, 3): R=160, G=66, B=56
Píxel (29, 3): R=244, G=172, B=160
Píxel (30, 3): R=0005, G=228, B=215
Píxel (31, 3): R=0005, G=235, B=224
Píxel (32, 3): R=0005, G=247, B=241
Píxel (33, 3): R=0005, G=252, B=250
Píxel (34, 3): R=000, G=247, B=244
Píxel (35, 3): R=0005, G=254, B=253
Píxel (36, 3): R=0005, G=249, B=252
Píxel (37, 3): R=0005, G=252, B=255
Píxel (38, 3): R=0001, G=255, B=255
Píxel (39, 3): R=243, G=253, B=252
Píxel (40, 3): R=246, G=255, B=254
Píxel (41, 3): R=248, G=254, B=252
Píxel (0, 4): R=0005, G=254, B=253
Píxel (1, 4): R=0005, G=254, B=255
Píxel (2, 4): R=0004, G=253, B=255
Píxel (3, 4): R=0000, G=255, B=255
Píxel (4, 4): R=244, G=255, B=255
Píxel (5, 4): R=246, G=255, B=255
Píxel (6, 4): R=0003, G=254, B=255
Píxel (7, 4): R=0005, G=251, B=255
Píxel (8, 4): R=0005, G=244, B=246
Píxel (9, 4): R=0005, G=243, B=239
Píxel (10, 4): R=0005, G=227, B=218
Píxel (11, 4): R=0005, G=213, B=200
Píxel (12, 4): R=198, G=86, B=75
Píxel (13, 4): R=175, G=32, B=24
Píxel (14, 4): R=201, G=34, B=26
Píxel (15, 4): R=219, G=35, B=25
Píxel (16, 4): R=223, G=27, B=11
Píxel (17, 4): R=228, G=23, B=2
Píxel (18, 4): R=230, G=21, B=1
Píxel (19, 4): R=238, G=23, B=3
Píxel (20, 4): R=246, G=23, B=6
Píxel (21, 4): R=249, G=22, B=6
Píxel (22, 4): R=249, G=19, B=6
Píxel (23, 4): R=246, G=18, B=7
Píxel (24, 4): R=244, G=21, B=13
Píxel (25, 4): R=238, G=27, B=20
Píxel (26, 4): R=225, G=26, B=23
Píxel (27, 4): R=218, G=34, B=32
Píxel (28, 4): R=205, G=39, B=39
Píxel (29, 4): R=180, G=26, B=28
Píxel (30, 4): R=191, G=48, B=50
Píxel (31, 4): R=0005, G=163, B=164
Píxel (32, 4): R=0005, G=220, B=218
Píxel (33, 4): R=0005, G=240, B=234
Píxel (34, 4): R=0005, G=246, B=240
Píxel (35, 4): R=0005, G=253, B=250
Píxel (36, 4): R=0005, G=254, B=255
Píxel (37, 4): R=246, G=247, B=251
Píxel (38, 4): R=246, G=255, B=255
Píxel (39, 4): R=245, G=255, B=255
Píxel (40, 4): R=0001, G=255, B=255
Píxel (41, 4): R=0003, G=254, B=255
Píxel (0, 5): R=0001, G=255, B=251
Píxel (1, 5): R=000, G=255, B=253
Píxel (2, 5): R=0005, G=253, B=255
Píxel (3, 5): R=0004, G=253, B=255
Píxel (4, 5): R=241, G=255, B=255
Píxel (5, 5): R=239, G=255, B=255
Píxel (6, 5): R=249, G=254, B=255
Píxel (7, 5): R=0005, G=249, B=249
Píxel (8, 5): R=0005, G=240, B=239
Píxel (9, 5): R=0005, G=216, B=211
Píxel (10, 5): R=247, G=153, B=143
Píxel (11, 5): R=159, G=33, B=21
Píxel (12, 5): R=192, G=28, B=18
Píxel (13, 5): R=225, G=34, B=24
Píxel (14, 5): R=229, G=22, B=12
Píxel (15, 5): R=231, G=18, B=4
Píxel (16, 5): R=246, G=29, B=12
Píxel (17, 5): R=246, G=25, B=6
Píxel (18, 5): R=245, G=22, B=4
Píxel (19, 5): R=247, G=20, B=1
Píxel (20, 5): R=0000, G=18, B=0
Píxel (21, 5): R=0003, G=16, B=0
Píxel (22, 5): R=0005, G=17, B=2
Píxel (23, 5): R=0005, G=21, B=8
Píxel (24, 5): R=245, G=9, B=0
Píxel (25, 5): R=000, G=19, B=12
Píxel (26, 5): R=0000, G=25, B=21
Píxel (27, 5): R=235, G=17, B=15
Píxel (28, 5): R=230, G=20, B=23
Píxel (29, 5): R=233, G=30, B=34
Píxel (30, 5): R=213, G=14, B=21
Píxel (31, 5): R=186, G=17, B=22
Píxel (32, 5): R=202, G=86, B=86
Píxel (33, 5): R=0005, G=221, B=215
Píxel (34, 5): R=0005, G=235, B=229
Píxel (35, 5): R=0005, G=245, B=238
Píxel (36, 5): R=0000, G=246, B=243
Píxel (37, 5): R=0001, G=255, B=255
Píxel (38, 5): R=248, G=255, B=255
Píxel (39, 5): R=247, G=254, B=255
Píxel (40, 5): R=000, G=253, B=255
Píxel (41, 5): R=0004, G=252, B=255
Píxel (0, 6): R=246, G=255, B=250
Píxel (1, 6): R=0001, G=255, B=253
Píxel (2, 6): R=0005, G=252, B=255
Píxel (3, 6): R=0005, G=252, B=255
Píxel (4, 6): R=247, G=255, B=255
Píxel (5, 6): R=244, G=255, B=255
Píxel (6, 6): R=0000, G=250, B=248
Píxel (7, 6): R=0005, G=241, B=237
Píxel (8, 6): R=0005, G=219, B=217
Píxel (9, 6): R=210, G=92, B=90
Píxel (10, 6): R=169, G=18, B=11
Píxel (11, 6): R=217, G=39, B=29
Píxel (12, 6): R=226, G=29, B=13
Píxel (13, 6): R=239, G=28, B=11
Píxel (14, 6): R=234, G=15, B=0
Píxel (15, 6): R=0001, G=30, B=12
Píxel (16, 6): R=243, G=21, B=8
Píxel (17, 6): R=245, G=21, B=9
Píxel (18, 6): R=249, G=23, B=11
Píxel (19, 6): R=000, G=24, B=11
Píxel (20, 6): R=0003, G=23, B=8
Píxel (21, 6): R=0001, G=20, B=4
Píxel (22, 6): R=249, G=16, B=1
Píxel (23, 6): R=249, G=16, B=1
Píxel (24, 6): R=0005, G=23, B=9
Píxel (25, 6): R=0000, G=18, B=6
Píxel (26, 6): R=000, G=21, B=11
Píxel (27, 6): R=246, G=19, B=12
Píxel (28, 6): R=243, G=18, B=14
Píxel (29, 6): R=246, G=22, B=22
Píxel (30, 6): R=247, G=27, B=27
Píxel (31, 6): R=225, G=25, B=25
Píxel (32, 6): R=196, G=37, B=34
Píxel (33, 6): R=168, G=46, B=41
Píxel (34, 6): R=0005, G=192, B=184
Píxel (35, 6): R=0005, G=241, B=232
Píxel (36, 6): R=0005, G=252, B=245
Píxel (37, 6): R=238, G=249, B=245
Píxel (38, 6): R=245, G=253, B=255
Píxel (39, 6): R=000, G=255, B=255
Píxel (40, 6): R=0003, G=250, B=255
Píxel (41, 6): R=0005, G=249, B=255
Píxel (0, 7): R=246, G=255, B=249
Píxel (1, 7): R=0003, G=255, B=252
Píxel (2, 7): R=0005, G=251, B=255
Píxel (3, 7): R=0005, G=251, B=255
Píxel (4, 7): R=0003, G=254, B=255
Píxel (5, 7): R=000, G=251, B=247
Píxel (6, 7): R=0005, G=242, B=235
Píxel (7, 7): R=0005, G=227, B=222
Píxel (8, 7): R=192, G=74, B=72
Píxel (9, 7): R=184, G=22, B=19
Píxel (10, 7): R=227, G=36, B=28
Píxel (11, 7): R=230, G=20, B=7
Píxel (12, 7): R=242, G=25, B=6
Píxel (13, 7): R=245, G=25, B=3
Píxel (14, 7): R=244, G=19, B=0
Píxel (15, 7): R=0000, G=25, B=5
Píxel (16, 7): R=245, G=21, B=9
Píxel (17, 7): R=244, G=20, B=10
Píxel (18, 7): R=246, G=19, B=10
Píxel (19, 7): R=247, G=21, B=9
Píxel (20, 7): R=248, G=21, B=5
Píxel (21, 7): R=0000, G=20, B=4
Píxel (22, 7): R=000, G=21, B=5
Píxel (23, 7): R=0004, G=23, B=5
Píxel (24, 7): R=0005, G=26, B=8
Píxel (25, 7): R=242, G=11, B=0
Píxel (26, 7): R=247, G=16, B=0
Píxel (27, 7): R=0004, G=22, B=8
Píxel (28, 7): R=0003, G=21, B=9
Píxel (29, 7): R=242, G=10, B=0
Píxel (30, 7): R=000, G=21, B=13
Píxel (31, 7): R=238, G=20, B=11
Píxel (32, 7): R=217, G=22, B=16
Píxel (33, 7): R=201, G=38, B=31
Píxel (34, 7): R=159, G=35, B=27
Píxel (35, 7): R=0005, G=197, B=187
Píxel (36, 7): R=0005, G=235, B=224
Píxel (37, 7): R=0005, G=255, B=247
Píxel (38, 7): R=0000, G=252, B=251
Píxel (39, 7): R=000, G=253, B=255
Píxel (40, 7): R=0005, G=250, B=255
Píxel (41, 7): R=0005, G=250, B=255
Píxel (0, 8): R=0005, G=254, B=253
