Title,Date
"No mires arriba","4/1/22"
"Pokémon: Serie Sol y Luna: Sol y Luna: ¡Primera captura en Alola al estilo Ketchum!","3/1/22"
"Pokémon: Serie Sol y Luna: Sol y Luna: ¡Cargando la Dex!","3/1/22"
"Pokémon: Serie Sol y Luna: Sol y Luna: ¡El recorrido del espíritu!","3/1/22"
"Pokémon: Serie Sol y Luna: Sol y Luna: ¡Alola a nuevas aventuras!","2/1/22"
"Viajes Pokémon: La serie: Temporada 1: ¡Esa vieja y nueva pandilla!","2/1/22"
"Viajes Pokémon: La serie: Temporada 1: ¡Una y otra vez!","2/1/22"
"Viajes Pokémon: La serie: Temporada 1: ¡Octobloqueo en el gimnasio!","2/1/22"
"Viajes Pokémon: La serie: Temporada 1: ¡Clonación y renovación!","2/1/22"
"Hilda: Temporada 2: Capítulo 9: El ciervozorro","2/1/22"
"Hilda: Temporada 1: Capítulo 1: El pueblo oculto","2/1/22"
"Hilda y el rey de la montaña","2/1/22"
"STAND BY ME Doraemon 2","1/1/22"
"Superlópez","1/1/22"
"Que se mueran los feos","31/12/21"
"Es por tu bien","31/12/21"
"Café con aroma de mujer: Temporada 1: Episodio 1","30/12/21"
"La tribu","29/12/21"
"A 1000 km de la Navidad","28/12/21"
"Hasta que la boda nos separe","28/12/21"
"¡Sé feliz con Marie Kondo!: Temporada 1: La felicidad de estar en familia","27/12/21"
"Reformas para todos los bolsillos: Temporada 1: Una casa para toda la vida","26/12/21"
"Reformas para todos los bolsillos: Temporada 2: Reformas del pasado","26/12/21"
"La ciudad de las estrellas (La La Land)","25/12/21"
"Fue la mano de Dios","19/12/21"
"Mujercitas","12/12/21"
"El estornino","12/12/21"
"La isla mínima","12/12/21"
"La piel que habito","10/12/21"
"Elisa y Marcela","10/12/21"
"Si yo fuera rico","8/12/21"
"El poder del perro","8/12/21"
"Ricos y mimados","8/12/21"
"Donde caben dos","8/12/21"
"Un castillo por Navidad","3/12/21"
"The Crown: Temporada 1: Fuerza mayor","24/11/21"
"Pokémon: Indigo League: Temporada 1: El secreto del centro de crianza","21/11/21"
"Pokémon: Indigo League: Temporada 1: El examen final","21/11/21"
"Pokémon: Indigo League: Temporada 1: Paparazzi de Pokémon","21/11/21"
"Pokémon: Indigo League: Temporada 1: El caso de la travesura K-9","21/11/21"
"Pokémon: Indigo League: Temporada 1: El jardín misterioso de Bulbasaur","21/11/21"
"Pokémon: Indigo League: Temporada 1: ¿Quién conseguirá quedarse con Togepi?","21/11/21"
"Pokémon: Indigo League: Temporada 1: Tan cerca, y aun así tan Farfetch'd","21/11/21"
"Pokémon: Indigo League: Temporada 1: Sagrado matrimonio","21/11/21"
"Casa ajena","14/11/21"
"El tiempo que te doy: Season 1: 10 minutos de presente y 1 minuto de recuerdo","14/11/21"
"El tiempo que te doy: Season 1: 9 minutos de presente y 2 minutos de recuerdo","14/11/21"
"El tiempo que te doy: Season 1: 8 minutos de presente y 3 minutos de recuerdo","14/11/21"
"Palabras que burbujean como un refresco","14/11/21"
"Pokémon: Indigo League: Temporada 1: Operación Chansey","14/11/21"
"Pokémon: Indigo League: Temporada 1: El ataque de los Pokémon prehistóricos","14/11/21"
"Pokémon: Indigo League: Temporada 1: La canción de Jigglypuff","14/11/21"
"Pokémon: Indigo League: Temporada 1: El problema con Paras","14/11/21"
"Pokémon: Indigo League: Temporada 1: La marcha del Escuadrón Exeggutor","14/11/21"
"Pokémon: Indigo League: Temporada 1: Enfrentamiento en Ciudad Tenebrosa","14/11/21"
